The Shawshank Redemption (1994)
Casino (1995)
A Beautiful Mind (2001)
The Elephant Man (1980)
Warrior (2011)
V for Vendetta (2005)
The Wolf of Wall Street (2013)
Hacksaw Ridge (2016)
Dial M for Murder (1954)
The Message (1976)
Gone with the Wind (1939)
Rebecca (1940)
Trainspotting (1996)
Cool Hand Luke (1967)
The Deer Hunter (1978)
Gran Torino (2008)
The Big Lebowski (1998)
It Happened One Night (1934)
The Thing (1982)
Fargo (1996)
Mary and Max (2009)
Finding Nemo (2003)
The Sixth Sense (1999)
No Country for Old Men (2007)
How to Train Your Dragon (2010)
Wonder Woman (2017)
There Will Be Blood (2007)
Into the Wild (2007)
Kill Bill: Vol. 1 (2003)
Gone Girl (2014)
Life of Brian (1979)
Network (1976)
Shutter Island (2010)
In the Name of the Father (1993)
Rush (2013)
Hotel Rwanda (2004)
Song of the Sea (2014)
Platoon (1986)
Stand by Me (1986)
Kind Hearts and Coronets (1949)
Hachi: A Dog's Tale (2009)
Ben-Hur (1959)
The Maltese Falcon (1941)
Butch Cassidy and the Sundance Kid (1969)
The Legend of 1900 (1998)
Brief Encounter (1945)
Spotlight (2015)
The Best Years of Our Lives (1946)
The Grapes of Wrath (1940)
What Ever Happened to Baby Jane? (1962)
12 Years a Slave (2013)
Mad Max: Fury Road (2015)
The Princess Bride (1987)
The Grand Budapest Hotel (2014)
Million Dollar Baby (2004)
Touch of Evil (1958)
Jurassic Park (1993)
Before Sunrise (1995)
Star Wars: The Force Awakens (2015)
Harry Potter and the Deathly Hallows: Part 2 (2011)
The Truman Show (1998)
Paris, Texas (1984)
Gandhi (1982)
The Last Picture Show (1971)
Barry Lyndon (1975)
Annie Hall (1977)
Rocky (1976)
Prisoners (2013)
Donnie Darko (2001)
Guardians of the Galaxy Vol. 2 (2017)
Laura (1944)
The Bourne Ultimatum (2007)
The Man Who Shot Liberty Valance (1962)
Cat on a Hot Tin Roof (1958)
Monsters, Inc. (2001)
Catch Me If You Can (2002)
Sleuth (1972)
The Wizard of Oz (1939)
Roman Holiday (1953)
Anatomy of a Murder (1959)
Who's Afraid of Virginia Woolf? (1966)
Groundhog Day (1993)
The Terminator (1984)
The Help (2011)
Strangers on a Train (1951)
The Night of the Hunter (1955)
Lion (2016)
All Quiet on the Western Front (1930)
Beauty and the Beast (1991)
Twelve Monkeys (1995)
Zootopia (2016)
Dog Day Afternoon (1975)
Guardians of the Galaxy (2014)
Jaws (1975)
Pirates of the Caribbean: The Curse of the Black Pearl (2003)
The Imitation Game (2014)
Before Sunset (2004)
Young Frankenstein (1974)
Dogville (2003)
Stalag 17 (1953)
High Noon (1952)
A Streetcar Named Desire (1951)
Papillon (1973)
Dead Poets Society (1989)
Arsenic and Old Lace (1944)
A Night at the Opera (1935)
Sin City (2005)
The Hustler (1961)
The Killing (1956)
The Avengers (2012)
Notorious (1946)
Harvey (1950)
The Martian (2015)
Rio Bravo (1959)
The Exorcist (1973)
The Philadelphia Story (1940)
The Big Sleep (1946)
Pink Floyd: The Wall (1982)
The King's Speech (2010)
Rope (1948)
A Christmas Story (1983)
The Graduate (1967)
JFK (1991)
Sling Blade (1996)
Blood Diamond (2006)
Magnolia (1999)
The Revenant (2015)
The Nightmare Before Christmas (1993)
Rain Man (1988)
Deadpool (2016)
The Manchurian Candidate (1962)
The Wild Bunch (1969)
Aladdin (1992)
Big Fish (2003)
The Lost Weekend (1945)
Short Term 12 (2013)
Patton (1970)
His Girl Friday (1940)
The Straight Story (1999)
Slumdog Millionaire (2008)
Dances with Wolves (1990)
Kill Bill: Vol. 2 (2004)
